team,model_rank,champion_pct,finalist_pct,semifinal_pct,qf_pct,r16_pct,elo_rating,fifa_rank,squad_value_m,elo_rank,rank_delta
Spain,1,12.94,19.86,29.54,42.7,61.52,2094.0,2,861.0,1,0
Argentina,2,10.76,17.17,26.21,39.43,57.07,2072.1,1,820.7,2,0
France,3,8.76,14.85,25.02,39.48,60.38,2025.1,3,1195.0,3,0
Portugal,4,5.04,9.51,17.08,30.05,51.81,1947.9,5,1000.0,6,2
Brazil,5,5.04,9.62,18.04,31.27,51.61,1951.0,6,1135.0,5,0
Colombia,6,4.53,8.77,16.15,28.62,50.47,1939.9,13,390.0,7,1
England,7,4.27,8.17,15.35,27.24,48.88,1952.0,4,1345.0,4,-3
Netherlands,8,3.88,7.72,15.15,28.03,47.69,1902.9,8,671.7,10,2
Ecuador,9,3.56,7.41,14.6,26.57,50.35,1930.1,23,236.35,8,-1
Morocco,10,3.14,6.56,13.28,25.24,45.11,1896.6,7,318.1,11,1
Germany,11,3.12,6.53,13.15,24.8,49.01,1906.2,10,775.0,9,-2
Japan,12,3.04,6.19,12.64,24.17,43.76,1894.7,18,284.75,12,0
Mexico,13,3.03,6.38,13.14,26.67,51.38,1877.8,14,164.6,16,3
Switzerland,14,2.78,6.03,12.5,25.86,51.46,1854.4,19,281.7,18,4
Belgium,15,2.49,5.57,11.4,24.11,46.17,1850.7,9,549.4,19,4
Croatia,16,2.38,5.14,10.94,21.96,43.14,1884.2,11,325.5,14,-2
Norway,17,2.13,4.78,10.33,21.14,40.75,1842.4,31,320.0,20,3
Türkiye,18,2.08,4.67,10.13,21.88,44.59,1881.8,22,280.0,15,-3
Uruguay,19,1.98,4.38,9.43,19.2,35.73,1887.2,16,423.95,13,-6
Senegal,20,1.57,3.61,8.2,18.08,36.01,1859.9,15,211.8,17,-3
Canada,21,1.5,3.56,8.25,19.3,43.28,1821.5,30,185.0,22,1
Paraguay,22,1.25,3.1,7.32,17.15,37.69,1841.3,40,130.0,21,-1
Iran,23,1.2,2.96,7.13,16.89,36.9,1821.3,20,51.4,24,1
Algeria,24,1.2,3.0,6.84,14.96,30.7,1812.6,28,145.0,26,2
Austria,25,0.96,2.48,5.85,13.54,28.13,1803.0,24,290.0,27,2
South Korea,26,0.88,2.38,6.08,15.39,36.9,1812.8,18,184.3,25,-1
Australia,27,0.8,2.12,5.36,13.57,31.6,1821.4,27,41.25,23,-4
Egypt,28,0.74,1.96,5.25,13.55,32.31,1768.2,29,100.0,29,1
Panama,29,0.53,1.59,4.25,10.21,24.72,1789.0,34,48.0,28,-1
Uzbekistan,30,0.44,1.31,3.52,8.8,22.05,1767.7,50,62.0,30,0
Scotland,31,0.43,1.17,3.34,9.19,22.44,1755.2,35,185.0,31,0
Czechia,32,0.4,1.3,3.71,10.27,27.56,1722.8,39,320.0,34,2
Ivory Coast,33,0.38,1.2,3.36,9.16,24.62,1738.3,33,250.0,33,0
DR Congo,34,0.35,1.03,2.68,7.22,18.89,1718.0,45,82.0,36,2
Tunisia,35,0.31,0.94,2.73,7.46,19.81,1684.9,46,54.1,39,4
USA,36,0.31,0.88,2.67,7.57,20.65,1754.3,17,270.2,32,-4
Sweden,37,0.3,0.88,2.42,6.96,18.68,1719.7,38,310.0,35,-2
Jordan,38,0.22,0.72,2.08,5.73,14.81,1718.0,63,38.0,36,-2
Bosnia and Herzegovina,39,0.21,0.68,2.24,6.92,21.03,1613.7,64,185.0,45,6
Iraq,40,0.2,0.68,1.97,5.54,14.32,1714.1,56,60.0,38,-2
Haiti,41,0.17,0.61,1.88,5.61,15.6,1677.6,83,26.0,40,-1
Cape Verde,42,0.14,0.54,1.87,5.69,15.73,1648.7,67,58.0,43,1
Saudi Arabia,43,0.11,0.44,1.47,4.56,14.18,1654.1,44,14.5,42,-1
South Africa,44,0.11,0.36,1.31,4.39,14.0,1614.8,60,78.0,44,0
Ghana,45,0.1,0.28,0.99,3.15,10.38,1581.8,73,242.2,46,1
Curaçao,46,0.07,0.26,0.93,3.2,11.31,1558.7,82,38.0,48,2
Qatar,47,0.07,0.33,1.15,3.88,13.14,1566.9,57,14.3,47,0
New Zealand,48,0.06,0.3,1.11,3.66,11.63,1663.4,85,32.0,41,-7
