team,model_rank,champion_pct,finalist_pct,semifinal_pct,qf_pct,r16_pct,elo_rating,fifa_rank,squad_value_m,elo_rank,rank_delta
Spain,1,15.65,23.43,34.41,47.89,66.05,2094.0,2,861.0,1,0
Argentina,2,12.8,20.48,30.56,44.27,61.59,2072.1,1,820.7,2,0
France,3,10.22,17.05,28.4,44.04,65.17,2025.1,3,1195.0,3,0
Portugal,4,4.82,9.44,17.23,30.64,53.09,1947.9,5,1000.0,6,2
Brazil,5,4.69,9.24,18.17,32.05,52.67,1951.0,6,1135.0,5,0
England,6,4.24,8.43,16.27,28.89,51.89,1952.0,4,1345.0,4,-2
Colombia,7,4.11,8.47,15.81,28.6,51.14,1939.9,13,390.0,7,0
Netherlands,8,3.64,7.5,15.29,28.82,48.41,1902.9,8,671.7,10,2
Ecuador,9,3.58,7.75,15.84,28.46,54.12,1930.1,23,236.35,8,-1
Morocco,10,3.15,6.79,14.07,26.61,47.38,1896.6,7,318.1,11,1
Japan,11,3.0,6.23,12.88,25.12,45.1,1894.7,18,284.75,12,1
Switzerland,12,2.77,6.07,12.77,27.1,54.16,1854.4,19,281.7,18,6
Mexico,13,2.74,6.14,13.14,27.17,52.65,1877.8,14,164.6,16,3
Germany,14,2.64,5.93,12.65,24.47,49.62,1906.2,10,775.0,9,-5
Belgium,15,2.56,5.79,11.76,25.65,48.76,1850.7,9,549.4,19,4
Croatia,16,2.23,5.1,11.19,23.04,46.37,1884.2,11,325.5,14,-2
Norway,17,2.15,4.98,10.94,22.25,42.9,1842.4,31,320.0,20,3
Türkiye,18,1.94,4.49,9.67,21.35,45.07,1881.8,22,280.0,15,-3
Uruguay,19,1.74,4.06,8.97,18.51,34.16,1887.2,16,423.95,13,-6
Senegal,20,1.44,3.4,7.91,17.85,35.77,1859.9,15,211.8,17,-3
Canada,21,1.21,3.13,7.77,19.31,44.12,1821.5,30,185.0,22,1
Algeria,22,1.1,2.72,6.47,14.43,29.49,1812.6,28,145.0,26,4
Paraguay,23,1.02,2.77,6.82,16.94,38.52,1841.3,40,130.0,21,-2
Iran,24,0.96,2.51,6.46,16.21,36.83,1821.3,20,51.4,24,0
Austria,25,0.73,2.05,4.96,12.39,25.97,1803.0,24,290.0,27,2
South Korea,26,0.7,1.97,5.57,14.84,37.48,1812.8,18,184.3,25,-1
Australia,27,0.59,1.69,4.54,12.42,30.64,1821.4,27,41.25,23,-4
Egypt,28,0.48,1.59,4.58,12.49,31.95,1768.2,29,100.0,29,1
Panama,29,0.38,1.19,3.52,9.07,23.24,1789.0,34,48.0,28,-1
Uzbekistan,30,0.35,1.05,2.88,7.59,20.15,1767.7,50,62.0,30,0
Czechia,31,0.27,0.98,3.04,9.28,26.59,1722.8,39,320.0,34,3
Ivory Coast,32,0.26,0.93,2.88,8.49,24.0,1738.3,33,250.0,33,1
Scotland,33,0.26,0.85,2.72,8.26,20.84,1755.2,35,185.0,31,-2
DR Congo,34,0.22,0.78,2.27,6.56,18.57,1718.0,45,82.0,36,2
Tunisia,35,0.22,0.66,2.12,6.4,18.24,1684.9,46,54.1,39,4
USA,36,0.2,0.67,2.2,6.77,20.16,1754.3,17,270.2,32,-4
Sweden,37,0.16,0.58,1.8,5.73,16.5,1719.7,38,310.0,35,-2
Jordan,38,0.16,0.56,1.69,4.77,12.69,1718.0,63,38.0,36,-2
Bosnia and Herzegovina,39,0.15,0.52,1.68,5.94,19.77,1613.7,64,185.0,45,6
Iraq,40,0.12,0.46,1.45,4.35,11.89,1714.1,56,60.0,38,-2
Haiti,41,0.08,0.35,1.35,4.66,14.1,1677.6,83,26.0,40,-1
Cape Verde,42,0.08,0.36,1.47,4.85,13.97,1648.7,67,58.0,43,1
South Africa,43,0.05,0.19,0.81,3.35,12.06,1614.8,60,78.0,44,1
Saudi Arabia,44,0.04,0.2,0.76,2.86,10.24,1654.1,44,14.5,42,-2
Curaçao,45,0.04,0.12,0.51,2.02,8.23,1558.7,82,38.0,48,3
Ghana,46,0.04,0.12,0.48,1.97,7.37,1581.8,73,242.2,46,0
New Zealand,47,0.03,0.15,0.65,2.54,9.24,1663.4,85,32.0,41,-6
Qatar,48,0.03,0.12,0.63,2.76,11.1,1566.9,57,14.3,47,-1
