group,team,group_winner_pct
A,Mexico,46.2
A,South Korea,33.17
A,Czechia,15.07
A,South Africa,5.56
B,Switzerland,45.45
B,Canada,41.86
B,Bosnia and Herzegovina,7.91
B,Qatar,4.78
C,Brazil,49.64
C,Morocco,37.75
C,Scotland,8.54
C,Haiti,4.07
D,Türkiye,39.88
D,Paraguay,25.12
D,Australia,21.83
D,USA,13.17
E,Germany,43.4
E,Ecuador,42.76
E,Ivory Coast,11.31
E,Curaçao,2.53
F,Netherlands,45.02
F,Japan,41.35
F,Sweden,7.83
F,Tunisia,5.8
G,Belgium,41.78
G,Iran,32.74
G,Egypt,21.45
G,New Zealand,4.03
H,Spain,75.94
H,Uruguay,16.12
H,Cape Verde,4.34
H,Saudi Arabia,3.59
I,France,54.86
I,Senegal,23.24
I,Norway,17.0
I,Iraq,4.9
J,Argentina,69.23
J,Austria,13.64
J,Algeria,12.44
J,Jordan,4.69
K,Portugal,43.68
K,Colombia,40.98
K,Uzbekistan,9.27
K,DR Congo,6.07
L,England,53.5
L,Croatia,32.14
L,Panama,11.89
L,Ghana,2.47
