rank,team,champion_pct,finalist_pct,semifinal_pct,quarterfinal_pct,r16_pct,r32_pct,group_exit_pct,method
1,Spain,17.384,25.454,36.558,49.952000000000005,67.496,94.33200000000001,5.668,hybrid_57_5
2,Argentina,13.700000000000001,21.752,31.857999999999997,45.296,61.897999999999996,94.206,5.794,hybrid_57_5
3,France,10.824,18.05,30.272,45.972,66.542,91.686,8.314,hybrid_57_5
4,Portugal,5.092,10.034,17.928,31.979999999999997,54.476,84.63199999999999,15.368,hybrid_57_5
5,Brazil,4.918,9.844,19.338,33.592,54.212,88.75,11.25,hybrid_57_5
6,Colombia,4.182,8.788,16.546,29.799999999999997,52.634,83.094,16.906,hybrid_57_5
7,England,4.109999999999999,8.290000000000001,16.364,29.096,51.762,89.17,10.83,hybrid_57_5
8,Netherlands,3.6859999999999995,7.707999999999999,15.708,29.593999999999998,48.958,85.676,14.324,hybrid_57_5
9,Ecuador,3.634,7.958,16.408,29.215999999999998,55.362,88.344,11.655999999999999,hybrid_57_5
10,Morocco,3.092,6.926,14.566,27.488,48.096,84.99,15.010000000000002,hybrid_57_5
11,Japan,2.78,5.9639999999999995,12.64,24.908,44.454,83.26,16.74,hybrid_57_5
12,Switzerland,2.6679999999999997,6.042,12.858,27.448,55.382,89.17,10.83,hybrid_57_5
13,Belgium,2.522,5.844,12.012,26.752,50.05,86.46000000000001,13.54,hybrid_57_5
14,Mexico,2.508,5.774,12.656,26.932000000000002,52.83,88.84,11.16,hybrid_57_5
15,Germany,2.428,5.67,12.542,24.52,50.516000000000005,86.872,13.128,hybrid_57_5
16,Croatia,1.982,4.774,10.778,22.666,46.14,85.718,14.282,hybrid_57_5
17,Norway,1.8960000000000001,4.626,10.664,22.054000000000002,43.092000000000006,75.844,24.156,hybrid_57_5
18,Türkiye,1.712,4.136,9.292,21.176000000000002,45.344,80.298,19.702,hybrid_57_5
19,Uruguay,1.576,3.8580000000000005,8.884,18.572,34.254,77.332,22.668,hybrid_57_5
20,Senegal,1.236,3.056,7.486,17.422,35.65,66.518,33.482,hybrid_57_5
21,Canada,1.052,2.858,7.470000000000001,19.066,44.632,81.594,18.406,hybrid_57_5
22,Algeria,0.9560000000000001,2.528,6.22,14.222000000000001,29.002,68.528,31.472,hybrid_57_5
23,Paraguay,0.8500000000000001,2.408,6.21,16.164,38.032,74.71,25.290000000000003,hybrid_57_5
24,Iran,0.814,2.27,6.053999999999999,15.734,36.66,75.618,24.382,hybrid_57_5
25,Austria,0.632,1.886,4.760000000000001,12.192,25.644,64.02799999999999,35.972,hybrid_57_5
26,South Korea,0.54,1.698,5.0840000000000005,14.224,37.208000000000006,78.774,21.226,hybrid_57_5
27,Australia,0.45599999999999996,1.456,4.096,11.700000000000001,29.98,65.98,34.02,hybrid_57_5
28,Egypt,0.378,1.4080000000000001,4.222,12.017999999999999,31.624000000000002,72.018,27.982000000000003,hybrid_57_5
29,Panama,0.294,1.01,3.168,8.716,23.058,60.79599999999999,39.204,hybrid_57_5
30,Uzbekistan,0.27399999999999997,0.8840000000000001,2.572,7.084,19.436,50.104000000000006,49.896,hybrid_57_5
31,Ivory Coast,0.208,0.752,2.506,7.968,23.494,61.576,38.424,hybrid_57_5
32,Scotland,0.2,0.716,2.4979999999999998,7.82,20.46,53.618,46.382,hybrid_57_5
33,Czechia,0.182,0.828,2.7279999999999998,8.76,25.990000000000002,63.876,36.124,hybrid_57_5
34,DR Congo,0.178,0.66,1.984,6.132,17.968,47.620000000000005,52.38,hybrid_57_5
35,Tunisia,0.158,0.538,1.8599999999999999,5.978,17.574,51.596,48.404,hybrid_57_5
36,USA,0.156,0.5539999999999999,1.924,6.3020000000000005,19.592000000000002,50.666,49.334,hybrid_57_5
37,Sweden,0.13799999999999998,0.47400000000000003,1.542,5.2540000000000004,15.83,47.31,52.690000000000005,hybrid_57_5
38,Jordan,0.124,0.44200000000000006,1.432,4.3740000000000006,12.292,36.584,63.416,hybrid_57_5
39,Bosnia and Herzegovina,0.12,0.416,1.4500000000000002,5.402,19.052,56.042,43.958000000000006,hybrid_57_5
40,Iraq,0.078,0.386,1.252,4.056,11.468,31.556,68.444,hybrid_57_5
41,Cape Verde,0.062,0.31,1.26,4.390000000000001,13.272,49.096000000000004,50.904,hybrid_57_5
42,Haiti,0.054,0.28600000000000003,1.1520000000000001,4.26,13.464,40.944,59.056,hybrid_57_5
43,South Africa,0.036000000000000004,0.15,0.692,3.0700000000000003,11.608,38.646,61.354,hybrid_57_5
44,Saudi Arabia,0.032,0.146,0.618,2.5100000000000002,9.65,41.596,58.404,hybrid_57_5
45,Curaçao,0.03,0.084,0.426,1.79,7.829999999999999,30.409999999999997,69.59,hybrid_57_5
46,Ghana,0.026,0.092,0.392,1.736,6.894,28.602,71.398,hybrid_57_5
47,New Zealand,0.024,0.126,0.5660000000000001,2.252,8.73,33.338,66.662,hybrid_57_5
48,Qatar,0.018000000000000002,0.086,0.504,2.39,10.408000000000001,39.582,60.418000000000006,hybrid_57_5
