rank,team,champion_pct,finalist_pct,semifinal_pct,quarterfinal_pct,r16_pct,r32_pct,group_exit_pct,method
1,Spain,21.529999999999998,30.636000000000003,42.176,54.942,70.396,94.33200000000001,5.668,proportional
2,Argentina,16.294,25.732,36.4,49.666,64.526,94.206,5.794,proportional
3,France,12.318,20.474,34.026,50.176,69.782,91.686,8.314,proportional
4,Portugal,4.806,9.927999999999999,18.178,33.154,55.888000000000005,84.63199999999999,15.368,proportional
5,Brazil,4.452,9.422,19.698,34.538000000000004,54.674,88.75,11.25,proportional
6,England,3.916,8.464,17.058,30.308,53.864000000000004,89.17,10.83,proportional
7,Colombia,3.864,8.702,16.61,30.5,53.712,83.094,16.906,proportional
8,Netherlands,3.2939999999999996,7.396,15.895999999999999,30.598,49.932,85.676,14.324,proportional
9,Ecuador,3.2680000000000002,7.666,16.586000000000002,29.605999999999998,56.772,88.344,11.655999999999999,proportional
10,Morocco,2.682,6.482,14.56,28.004,49.03,84.99,15.010000000000002,proportional
11,Japan,2.536,5.766,12.826,25.979999999999997,45.936,83.26,16.74,proportional
12,Switzerland,2.276,5.624,12.456,27.958,56.98,89.17,10.83,proportional
13,Mexico,2.2720000000000002,5.59,13.028,27.954,54.858,88.84,11.16,proportional
14,Belgium,2.0740000000000003,5.27,11.31,26.648,50.67,86.46000000000001,13.54,proportional
15,Germany,2.018,5.2459999999999996,12.374,24.312,51.092000000000006,86.872,13.128,proportional
16,Croatia,1.794,4.58,10.761999999999999,23.142,47.318,85.718,14.282,proportional
17,Norway,1.6820000000000002,4.42,10.85,22.96,44.332,75.844,24.156,proportional
18,Türkiye,1.4500000000000002,3.8,8.798,21.046,46.266,80.298,19.702,proportional
19,Uruguay,1.312,3.49,8.354000000000001,17.954,33.104,77.332,22.668,proportional
20,Senegal,0.988,2.718,7.284,17.663999999999998,36.262,66.518,33.482,proportional
21,Canada,0.7799999999999999,2.3539999999999996,6.772,18.512,45.302,81.594,18.406,proportional
22,Algeria,0.696,2.13,5.592,13.682,28.311999999999998,68.528,31.472,proportional
23,Paraguay,0.63,2.0140000000000002,5.652,15.78,38.582,74.71,25.290000000000003,proportional
24,Iran,0.626,1.884,5.388,15.336,36.828,75.618,24.382,proportional
25,Austria,0.438,1.488,4.194,11.606,24.878,64.02799999999999,35.972,proportional
26,South Korea,0.318,1.234,4.33,13.216,37.022,78.774,21.226,proportional
27,Australia,0.27399999999999997,1.0739999999999998,3.376,11.012,29.896,65.98,34.02,proportional
28,Egypt,0.232,1.044,3.438,11.065999999999999,30.930000000000003,72.018,27.982000000000003,proportional
29,Panama,0.16,0.6779999999999999,2.522,7.558,21.349999999999998,60.79599999999999,39.204,proportional
30,Uzbekistan,0.154,0.598,2.0340000000000003,6.264,18.718,50.104000000000006,49.896,proportional
31,Ivory Coast,0.116,0.504,1.9140000000000001,6.782000000000001,22.292,61.576,38.424,proportional
32,DR Congo,0.1,0.428,1.494,5.2780000000000005,17.036,47.620000000000005,52.38,proportional
33,USA,0.096,0.33,1.4120000000000001,5.264,18.686,50.666,49.334,proportional
34,Czechia,0.096,0.524,2.064,7.603999999999999,25.104,63.876,36.124,proportional
35,Scotland,0.08800000000000001,0.438,1.9460000000000002,6.950000000000001,19.451999999999998,53.618,46.382,proportional
36,Tunisia,0.08800000000000001,0.292,1.332,4.982,16.172,51.596,48.404,proportional
37,Sweden,0.06,0.27399999999999997,1.058,4.154,14.216000000000001,47.31,52.690000000000005,proportional
38,Jordan,0.044000000000000004,0.252,1.044,3.662,11.184,36.584,63.416,proportional
39,Bosnia and Herzegovina,0.044000000000000004,0.22599999999999998,0.972,4.306,17.54,56.042,43.958000000000006,proportional
40,Iraq,0.036000000000000004,0.25,0.9480000000000001,3.472,10.808,31.556,68.444,proportional
41,Haiti,0.027999999999999997,0.158,0.774,3.4819999999999998,12.328,40.944,59.056,proportional
42,Cape Verde,0.026,0.158,0.808,3.4520000000000004,11.518,49.096000000000004,50.904,proportional
43,Saudi Arabia,0.012,0.055999999999999994,0.328,1.6920000000000002,7.906000000000001,41.596,58.404,proportional
44,Ghana,0.01,0.04,0.20600000000000002,1.162,5.6739999999999995,28.602,71.398,proportional
45,South Africa,0.008,0.066,0.414,2.352,10.421999999999999,38.646,61.354,proportional
46,New Zealand,0.006,0.04,0.268,1.496,7.216,33.338,66.662,proportional
47,Qatar,0.004,0.032,0.25,1.574,8.598,39.582,60.418000000000006,proportional
48,Curaçao,0.004,0.027999999999999997,0.24,1.194,6.636,30.409999999999997,69.59,proportional
